"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Thu","Tue","Wed","year","temp","max","min","collisions"
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,80.3,88,66.9,564
"2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,79.8,88,63,664
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,81.8,91,68,432
"4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,86.7,93.9,70,591
"5",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,81.9,91,66.9,638
"6",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,78.5,84,68,533
"7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,76.5,86,61,524
"8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,77.1,84,64.9,565
"9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,77.4,88,57,577
"10",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,78.9,87.1,63,603
"11",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,79,91,70,528
"12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,84.6,93.9,70,648
"13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,85.3,100,73,559
"14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,73.3,75.9,68,522
"15",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,67.2,73.9,61,604
"16",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,76,86,64,505
"17",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,80.3,90,70,574
"18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,76.5,84.9,66.9,612
"19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,78,87.1,66.9,604
"20",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,76.6,87.1,70,637
"21",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,73.1,79,64.9,530
"22",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,73.4,80.1,60.1,540
"23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,72.2,78.1,66.9,615
"24",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,75,87.1,66.2,570
"25",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.9,89.1,69.1,589
"26",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.3,86,71.1,593
"27",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,75.2,82.9,63,547
"28",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.8,86,64,528
"29",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,78.2,88,61,581
"30",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.3,79,66.2,617
"31",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,76.3,86,69.1,504
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76,81,69.1,520
"33",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.6,81,66.2,602
"34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74,84.9,66,613
"35",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.9,88,69.1,574
"36",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,71.4,78.1,64,473
"37",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,72.8,81,60.8,482
"38",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.8,80.1,61,504
"39",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74.7,84,62.6,574
"40",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.3,87.1,66,601
"41",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,71.9,81,55.4,548
"42",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,77.9,86,69.8,587
"43",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.3,79,64.4,550
"44",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,72,82,57.2,618
"45",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.7,90,68,701
"46",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2012,73.8,79,55.4,373
