date,wban,f0_
2020-10-07,54746,10
2020-10-07,04781,10
2020-10-07,94704,10
2020-10-07,14771,10
2020-10-07,14747,10
2020-10-07,14768,10
2020-10-07,14735,10
2020-10-07,94761,10
2020-10-07,14732,10
2020-10-07,94740,10
2020-10-07,04720,10
2020-10-07,14715,10
2020-10-07,54778,10
2020-10-07,54787,10
2020-10-07,94728,10
2020-10-07,04725,10
2020-10-07,64758,999.9
2020-10-07,14719,10
2020-10-07,14757,10
2020-10-07,54780,999.9
2020-10-07,54790,10
2020-10-07,54757,10
2020-10-07,54773,10
2020-10-07,04724,10
2020-10-07,64775,10
2020-10-07,64756,999.9
2020-10-07,14748,10
2020-10-07,14714,10
2020-10-07,14750,10
2020-10-07,14733,10
2020-10-07,94745,10
2020-10-07,94725,10
2020-10-07,04789,10
2020-10-07,64776,10
2020-10-07,94790,10
2020-10-07,94789,10
2020-10-07,64761,10
2020-10-07,00465,10
2020-10-06,99999,295.75036751837769
2020-10-06,14714,10
2020-10-06,54746,6.6
2020-10-06,94725,8.4
2020-10-06,64776,7.9
2020-10-06,54787,10
2020-10-06,14757,9.3
2020-10-06,94704,10
2020-10-06,04725,9.6
2020-10-06,54757,10
2020-10-06,64756,999.9
2020-10-06,04741,12.9
2020-10-06,94745,9.1
2020-10-06,94790,10
2020-10-06,14732,10
2020-10-06,00465,10
2020-10-06,64761,10
2020-10-06,54778,10
2020-10-06,94740,8
2020-10-06,54790,10
2020-10-06,04781,9.9
2020-10-06,64758,999.9
2020-10-06,54773,6.4
2020-10-06,14748,6.8
2020-10-06,14719,10
2020-10-06,94728,10
2020-10-06,14750,8.9
2020-10-06,94761,9.9
2020-10-06,14747,10
2020-10-06,14768,10
2020-10-06,94789,10
2020-10-06,14771,9.5
2020-10-06,64775,9.9
2020-10-06,14735,8.7
2020-10-06,04789,7.9
2020-10-06,54780,999.9
2020-10-06,04720,9.8
2020-10-06,04724,10
2020-10-06,14715,9.5
2020-10-06,14733,10
2020-10-05,64761,8.5
2020-10-05,14747,9.8
2020-10-05,14748,10
2020-10-05,04724,8.3
2020-10-05,04725,9.9
2020-10-05,54773,10
2020-10-05,04781,10
2020-10-05,04789,9.6
2020-10-05,54778,10
2020-10-05,14757,10
2020-10-05,14735,8.5
2020-10-05,54780,999.9
2020-10-05,14768,10
2020-10-05,64758,999.9
2020-10-05,94728,10
2020-10-05,94725,10
2020-10-05,94761,10
2020-10-05,04720,9.8
2020-10-05,14719,9.6
2020-10-05,64776,10
2020-10-05,99999,296.55474067120582
2020-10-05,14714,10
2020-10-05,54790,9.9
2020-10-05,54787,10
2020-10-05,64775,10
2020-10-05,94740,9.6
2020-10-05,94789,10
2020-10-05,64756,999.9
2020-10-05,04741,12.9
2020-10-05,94745,10
2020-10-05,54746,10
2020-10-05,14732,10
2020-10-05,94790,10
2020-10-05,00465,7.1
2020-10-05,14750,8.9
2020-10-05,94704,10
2020-10-05,14733,9.4
2020-10-05,14771,10
2020-10-05,54757,9.3
2020-10-05,14715,10
2020-10-04,99999,299.77580817051347
2020-10-04,14750,4.6
2020-10-04,04789,8.4
2020-10-04,64776,9.5
2020-10-04,04724,10
2020-10-04,54780,999.9
2020-10-04,94728,10
2020-10-04,14732,10
2020-10-04,94790,10
2020-10-04,54787,10
2020-10-04,94789,10
2020-10-04,04725,10
2020-10-04,94745,10
2020-10-04,94761,10
2020-10-04,00465,10
2020-10-04,54746,10
2020-10-04,14748,10
2020-10-04,04720,10
2020-10-04,64756,999.9
2020-10-04,64761,10
2020-10-04,94740,7.7
2020-10-04,14747,10
2020-10-04,04781,10
2020-10-04,14768,10
2020-10-04,64775,10
2020-10-04,14771,10
2020-10-04,54757,10
2020-10-04,14719,10
2020-10-04,64758,999.9
2020-10-04,04741,15
2020-10-04,14757,10
2020-10-04,54790,10
2020-10-04,14714,8.2
2020-10-04,14735,8.1
2020-10-04,54778,10
2020-10-04,94725,8.6
2020-10-04,94704,10
2020-10-04,14733,10
2020-10-04,14715,10
2020-10-04,54773,10
2020-10-03,04741,15
2020-10-03,14714,10
2020-10-03,64775,9
2020-10-03,94740,9
2020-10-03,54773,8.9
2020-10-03,14719,10
2020-10-03,14735,9.9
2020-10-03,94725,9.5
2020-10-03,54746,10
2020-10-03,14757,10
2020-10-03,54790,10
2020-10-03,54780,999.9
2020-10-03,04781,10
2020-10-03,94745,10
2020-10-03,94728,10
2020-10-03,94790,8.2
2020-10-03,04789,10
2020-10-03,04724,9.8
2020-10-03,94704,10
2020-10-03,54757,10
2020-10-03,99999,301.14789836143552
2020-10-03,14750,5.5
2020-10-03,64756,999.9
2020-10-03,64758,999.9
2020-10-03,64761,9.7
2020-10-03,00465,9.7
2020-10-03,14747,10
2020-10-03,14733,10
2020-10-03,14748,10
2020-10-03,94761,10
2020-10-03,54778,10
2020-10-03,94789,10
2020-10-03,14715,8.8
